Column,Meaning,Values / Notes
PassengerId,Unique passenger ID,Identifier only
Survived,Survival status,"0 = No, 1 = Yes"
Pclass,Passenger class / ticket class,"1 = 1st, 2 = 2nd, 3 = 3rd"
Name,Full passenger name,"Can contain title like Mr, Mrs, Miss"
Sex,Gender,"male, female"
Age,Age in years,Some values are missing
SibSp,Number of siblings / spouses aboard,Family-related feature
Parch,Number of parents / children aboard,Family-related feature
Ticket,Ticket number,Often dropped in simple models
Fare,Ticket price,Can reflect wealth/class
Cabin,Cabin number,Many missing values
Embarked,Port of embarkation,"C = Cherbourg, Q = Queenstown, S = Southampton"
